Taxa	Motilonia	C. de Bolivar	Caribia
G1	-0.758904381	-1.003894843	NA
G10	-1.170043245	-1.372506384	NA
G11	-1.133352595	-1.146545204	NA
G12	-1.305489669	-1.238255487	NA
G13	-1.228074393	-1.501386514	-1.036792773
G14	-0.931927232	-1.85927086	NA
G15	-1.173881758	-1.202576169	NA
G16	-1.220158885	-0.976329349	NA
G17	-1.567749767	-1.460529658	NA
G18	-1.206673833	-1.452722599	NA
G19	-0.928958414	-1.395356448	NA
G2	-1.463546515	-1.589201655	NA
G20	-0.744531582	-1.345091409	NA
G22	-1.049498598	-1.347167792	NA
G23	-1.316775119	-1.236908563	NA
G24	-1.294601027	-1.178082954	-0.913329593
G25	-1.47133032	-0.872137058	NA
G26	-1.028361923	-1.251290342	-1.295530538
G27	-1.152675003	-0.997326806	-1.204083288
G28	-1.292937371	-1.168286892	-0.765039421
G29	-0.840715047	-1.077228091	NA
G3	-1.120666329	-1.473536902	NA
G30	-0.977878342	-1.30820258	NA
G31	NA	-1.204363057	NA
G32	-1.148383329	-0.760248028	NA
G33	NA	-1.042872057	NA
G34	-0.883401206	-1.340209396	NA
G35	-1.077278355	-1.041375382	NA
G36	NA	-1.234849059	NA
G37	-1.105200836	-0.743613033	-1.088089437
G38	-0.747675415	-1.348427544	NA
G39	NA	-1.363076064	-0.606527675
G4	NA	-1.133974907	NA
G40	-1.118347612	-1.30705074	NA
G41	-1.189858657	-0.951026709	NA
G42	-0.980906032	-1.503775257	NA
G43	-1.096723043	-1.566785446	NA
G44	NA	-1.163692198	NA
G45	-1.111205431	-1.197805105	NA
G47	-1.251143018	-1.706147137	NA
G48	-1.46014584	-1.190443769	NA
G49	NA	-1.108425241	-1.009580492
G5	-1.373605068	-1.502840091	NA
G50	NA	-1.532456309	NA
G51	-0.910143049	-1.135575827	NA
G52	NA	-0.912123401	NA
G53	NA	-1.354310604	NA
G54	NA	-0.784835368	NA
G55	-0.741264227	-1.026043231	NA
G56	-0.838379	-0.914180862	NA
G57	-1.002253009	-0.615730356	NA
G58	NA	-0.993505335	NA
G59	NA	-0.912410077	NA
G6	-1.512431849	-1.950962504	NA
G60	NA	-0.892395919	NA
G61	NA	-1.396903265	NA
G62	-0.937099604	-1.397484801	NA
G63	-0.903148639	-1.545740762	NA
G64	-0.886302553	-1.007637199	NA
G65	-0.858681267	-1.343080225	NA
G66	NA	-1.168494818	NA
G67	-0.900786134	-1.444087691	NA
G68	-1.339492893	-1.324190741	-0.913771539
G69	-0.644854913	-0.986401549	NA
G7	-1.249658061	-1.391114919	NA
G70	-0.97570953	-1.163392105	NA
G71	-0.832311726	-1.288964021	NA
G72	-1.292764491	-1.183485003	NA
G73	NA	-0.75986506	NA
G74	-0.966841336	-0.911819834	NA
G75	-1.005508215	-1.33070232	NA
G76	-0.626653528	-1.375106716	NA
G77	-0.665000144	-1.673670781	-1.105392469
G78	-0.937500401	-1.491037782	NA
G79	-1.091713179	-1.445227945	NA
G8	-1.330122587	-1.268170987	NA
G80	NA	-1.384737575	NA
G81	NA	-1.76305663	NA
G82	-1.421176651	-1.253530146	-1.01807816
G83	-0.749075397	-1.221106992	NA
G84	-1.214694657	-1.171855454	-1.059012938
G86	-0.720538643	-1.457394172	-1.352374339
G9	-1.220205059	-1.099672288	-1.078383457
