Taxa	Turipana	Motilonia	C. de Bolivar	Caribia
G1	-1.784757774	-0.888295653	-1.214228577	NA
G10	-1.586107167	-1.126072725	-1.858103591	NA
G11	-1.245122003	-1.132274758	-1.455857458	NA
G12	-1.198794044	-1.253614598	-1.589811641	NA
G13	-2.288445255	-1.197582637	-1.824834681	-0.979930865
G14	-1.170159166	-0.935519306	-1.946692518	NA
G15	-1.598680765	-1.173422499	-1.564039235	NA
G16	-1.182007782	-1.208630348	-1.478903656	NA
G17	-1.762320524	-1.457561694	-1.318769396	NA
G18	-1.325316945	-1.207344254	-1.481471331	NA
G19	-1.666467933	-0.940171777	-1.205300455	NA
G2	-1.586983481	-1.35292889	-1.402725899	NA
G20	-1.257289538	-0.838591666	-1.148964712	NA
G22	-0.987114839	-1.077873993	-1.515737824	NA
G23	-0.938466179	-1.267455593	-1.700219829	NA
G24	-1.65833661	-1.259942465	-1.383654297	-0.987052131
G25	-1.521401079	-1.384959774	-1.777430352	NA
G26	-2.092613678	-1.050733132	-0.933053706	-1.039209215
G27	-1.697957296	-1.165254103	-1.601115578	-0.958276709
G28	-1.08867773	-1.21120398	-0.698629243	-0.961655127
G29	-1.679363143	-0.881981961	-1.441803223	NA
G3	-1.343887114	-1.136163899	-1.547421676	NA
G30	-1.272125248	-1.0216854	-1.6973351	NA
G31	-1.198794044	NA	-0.68754586	NA
G32	-1.890001415	-1.12419522	-0.967552316	NA
G33	-1.211982139	NA	-1.185510364	NA
G34	-1.607048594	-0.8680895	-1.586276979	NA
G35	-1.481013946	-1.052066333	-1.260696529	NA
G36	NA	NA	-1.649021866	NA
G37	-2.01633863	-1.097531461	-1.043687182	-1.023967239
G38	-1.566534943	-0.764972867	-1.477976872	NA
G39	-1.381927954	NA	-1.616138193	-1.044754263
G4	-1.575985002	NA	-1.470659874	NA
G40	NA	-1.10189897	-0.827380063	NA
G41	-1.368284694	-1.172608489	-0.698629243	NA
G42	-1.211982139	-0.902769563	-1.35490794	NA
G43	-1.65833661	-1.079982519	-1.506237017	NA
G44	NA	NA	-1.507928662	NA
G45	-1.128964405	-1.109380493	-2.429280658	NA
G47	-1.046984101	-1.203849236	-1.41140009	NA
G48	-1.496235656	-1.400056034	-1.207186116	NA
G49	-1	NA	-0.979739411	-0.939767602
G5	-1.589001636	-1.315302961	-1.53858169	NA
G50	-1.566534943	NA	-1.489872118	NA
G51	-1.416059495	-0.954609291	-1.165204775	NA
G52	-1	NA	-1.232194867	NA
G53	-1.211982139	NA	-1.673145482	NA
G54	-1	NA	-0.752517739	NA
G55	-1.619307293	-0.754836145	-1.268945911	NA
G56	-1.624504793	-0.857263623	-1.238872861	NA
G57	NA	-1.011657506	-0.859070789	NA
G58	-1.50654058	NA	-1.289247259	NA
G59	-1.496235656	NA	-2.084065968	NA
G6	-1.725016758	-1.419281276	-2.030069063	NA
G60	-1	NA	-1.67804797	NA
G61	-1.459231232	NA	-1.711231783	NA
G62	-1.7861394	-0.964731679	-1.185050027	NA
G63	-1.447399852	-0.924084237	-1.471778579	NA
G64	-1.344528376	-0.932861483	-1.3980853	NA
G65	-1.211982139	-0.895274548	-1	NA
G66	-1.564419423	NA	-1.714853683	NA
G67	-1.640137179	-0.876447658	-1.608265929	NA
G68	-1.53094063	-1.283069192	-1.916472071	-1.032335945
G69	-1.164255263	-0.564052728	-0.593764093	NA
G7	-1.658856313	-1.213137323	-1.947015692	NA
G70	-1	-0.962213171	-1.452514276	NA
G71	-1.405698421	-0.880545193	-1.078645679	NA
G72	-1.666307129	-1.249244959	-0.921591017	NA
G73	-1.375738552	NA	-0.982384605	NA
G74	-1.221694696	-0.980672767	-1.12408793	NA
G75	-1.508599528	-1.015746716	-1.165474021	NA
G76	-1.290484936	-0.732627644	-1.414251102	NA
G77	-1.756465005	-0.771350126	-1.741997722	-1.042672191
G78	-1.229078405	-0.956089245	-0.95435567	NA
G79	-1.629544377	-1.061670072	-1.636733782	NA
G8	-1.642400653	-1.276045768	-2.071878031	NA
G80	-1.274560627	-1.007030843	-1.427858897	NA
G81	-1.405698421	-1.549416948	-1.866065983	NA
G82	-1.507361701	-1.372099597	-1.301948591	-0.975027091
G83	-1.97396687	-0.846205072	-1.61776776	NA
G84	-1.710711325	-1.223939409	-1.141134023	-1.010188177
G86	-1.689044389	-0.820750978	-1.616377363	-1.059097504
G9	-1.702700922	-1.143533374	-1.532218084	-1.009688192
