Taxa	Turipana	Motilonia	C. de Bolivar	Caribia
G1	-0.80262726	-0.502257394	-0.589641609	NA
G10	-0.669291209	-0.664907825	-0.896845829	NA
G11	-1.215342098	-0.397635364	-0.550741478	NA
G12	-0.965825969	-0.305369417	-0.651337758	NA
G13	-2.134021677	-0.424780816	-0.476626328	0
G14	-0.424557803	0	-0.563236724	NA
G15	-1.161200592	-0.472870805	-0.633941905	NA
G16	-1.078773038	-0.538149466	-0.447038002	NA
G17	-1.440762781	-0.795270729	-0.707652652	NA
G18	-2.188273435	-0.276941328	-0.392456616	NA
G19	-0.172602636	-0.554791407	-0.337109835	NA
G2	-1.515654942	-0.637549545	-0.728473818	NA
G20	-1.020091235	-0.668740305	-0.74923613	NA
G22	-0.923668817	-0.288176126	-0.478412992	NA
G23	-0.403528595	-0.447213595	-0.681513106	NA
G24	-1.931872658	-0.570434647	-0.197410143	-0.499948418
G25	-1.788349862	-0.447213595	-0.333396834	NA
G26	-2.02134303	-0.995686456	-0.332200484	-0.465607363
G27	-1.538724037	-0.305369417	-0.399672148	-0.825670406
G28	-0.072607001	-0.762442364	-0.438749618	0
G29	-1.102719858	-0.628016973	-0.362604761	NA
G3	-0.196568218	-0.345720785	-0.262219858	NA
G30	-0.586333349	-0.329340597	-0.920004957	NA
G31	-0.821795336	NA	-0.716893817	NA
G32	-1.68512684	-0.829187344	-0.64236704	NA
G33	-1.212392799	NA	-0.591622083	NA
G34	-0.643759927	-0.411133617	-0.392456616	NA
G35	-1.247738271	-0.450466272	-0.432034005	NA
G36	NA	NA	-0.37007035	NA
G37	-1.931872658	-0.939774487	-0.310883762	-0.446437691
G38	-1.515654942	-1.046635139	-0.904188694	NA
G39	-1.315709797	NA	-0.530884444	-0.583823425
G4	-0.413186026	NA	-1.06066745	NA
G40	NA	-0.774596669	-0.464015806	NA
G41	-1.173304718	-0.352185654	-0.543373897	NA
G42	-0.808132552	-0.633726806	-0.858291965	NA
G43	-1.38991822	-0.570434647	-0.853957245	NA
G44	NA	NA	-0.395065995	NA
G45	-1	-0.288176126	-0.716893817	NA
G47	-0.491323807	-0.759835686	-0.716893817	NA
G48	-1.250135223	-0.472870805	-0.438749618	NA
G49	-1.38991822	NA	-0.596683759	-0.558721125
G5	-1.384829377	-0.281170663	-0.527538718	NA
G50	-1.38991822	NA	-0.718138723	NA
G51	-1.246221781	0	-0.294720127	NA
G52	-1.156104638	NA	-0.786728472	NA
G53	-1	NA	-0.594613549	NA
G54	-1.156104638	NA	-0.332200484	NA
G55	-0.276284583	-0.508132748	-0.451118627	NA
G56	-1.454289181	0	-0.525189254	NA
G57	NA	-0.624397128	-0.406377576	NA
G58	-1.083639969	NA	-0.22028216	NA
G59	-1.090463396	NA	-0.74923613	NA
G6	-0.328782856	-0.508132748	-0.511743358	NA
G60	-0.71946679	NA	-0.454223834	NA
G61	-0.975930099	NA	-0.765789128	NA
G62	-1.624399431	-0.682826775	-0.677209873	NA
G63	-1.18649229	-0.75504153	-0.287945982	NA
G64	-0.972168511	-0.431857571	-0.499286411	NA
G65	-1.624399431	-0.588566191	-0.447038002	NA
G66	-0.582939805	NA	-0.431495522	NA
G67	-0.901508786	-0.397635364	-0.521424307	NA
G68	-1.242430354	-0.581430737	-0.602396441	-1.087883403
G69	-0.768014865	-0.551759647	-0.520174684	NA
G7	-0.637424953	-0.514368672	-0.505672099	NA
G70	-0.168467161	-0.553882655	-0.753760242	NA
G71	-1	-0.604275079	-0.407547018	NA
G72	-1.448434404	-0.52331757	0	NA
G73	-0.761671304	NA	-0.418032412	NA
G74	-0.635755	-0.436683544	-0.596880895	NA
G75	-1.001636451	-0.624397128	-0.610383616	NA
G76	-0.920518796	-0.636018803	-0.538174866	NA
G77	-1.454289181	-0.588566191	-0.686412953	-0.678563196
G78	-0.761595777	-0.547197164	-0.650510524	NA
G79	-1.279445847	-0.53182959	-0.555842095	NA
G8	-0.465574567	-0.411133617	-0.425769917	NA
G80	-0.945154274	-0.649335831	-0.468833863	NA
G81	-1.454289181	-1.026690096	-0.292380083	NA
G82	-0.814955405	-1.108098022	-0.376167515	-0.484047316
G83	-1.499463254	-0.339808849	-0.581354568	NA
G84	-1.44556083	-0.752120619	-0.700508949	-0.32184854
G86	-0.816937887	-0.345720785	-0.438749618	-0.482045724
G9	-1.380882889	-0.329340597	-0.447038002	-0.76528558
				
