Taxa	Motilonia	C. de Bolivar	Caribia
G1	-0.580057294	-1.905356642	NA
G10	-0.961217247	-2.241040936	NA
G11	-0.926144047	-3.236445115	NA
G12	-1.092249031	-1.838227414	NA
G13	-1.017063598	-1.77460146	-1.556309501
G14	-0.737108906	-2.398520957	NA
G15	-0.964897249	-1.64730146	NA
G16	-1.009419694	-2.178048576	NA
G17	-1.352307711	-2.318059336	NA
G18	-0.996416398	-1.854352152	NA
G19	-0.734370079	-1.992617355	NA
G2	-1.248035504	-1.633789938	NA
G20	-0.567261054	-2.504979063	NA
G22	-0.846703774	-2.003739499	NA
G23	-1.103272693	-2.127342146	NA
G24	-1.081628015	-1.251678435	-1.788024103
G25	-1.255782821	-1.615314576	NA
G26	-0.826842848	-2.229594786	-1.217529735
G27	-0.944591449	-1.747870265	-0.938242297
G28	-1.080006556	-1.510583503	-0.250442322
G29	-0.653646509	-2.287628854	NA
G3	-0.914060691	-1.754445771	NA
G30	-0.7796834	-2.627599423	NA
G31	NA	-1.033946308	NA
G32	-0.940489637	-1.868586834	NA
G33	NA	-2.564822092	NA
G34	-0.692527422	-1.716958308	NA
G35	-0.87290821	-2.760315268	NA
G36	NA	-2.341101211	NA
G37	-0.899361022	-1.618381961	-1.005645518
G38	-0.570056549	-0.55334096	NA
G39	NA	-1.376022426	-2.025498855
G4	NA	-3.034512885	NA
G40	-0.911854627	-1.570076939	NA
G41	-0.980235875	-1.546284958	NA
G42	-0.782500508	-2.234847305	NA
G43	-0.891317538	-1.725749926	NA
G44	NA	-2.230499069	NA
G45	-0.905064235	-2.638856632	NA
G47	-1.039387377	-1.447124255	NA
G48	-1.244652924	-1.999723394	NA
G49	NA	-1.220641816	-0.927505499
G5	-1.159021576	-1.223712637	NA
G50	NA	-2.590516463	NA
G51	-0.717046392	-1.527098012	NA
G52	NA	-1.848619076	NA
G53	NA	-2.584011821	NA
G54	NA	-2.254798734	NA
G55	-0.564357807	-1.773379772	NA
G56	-0.651528041	-1.687602219	NA
G57	-0.802403694	-0.583688763	NA
G58	NA	-1.457252724	NA
G59	NA	-0.980972673	NA
G6	-1.29680429	-1.492671333	NA
G60	NA	-1.289025392	NA
G61	NA	-1.783023639	NA
G62	-0.741884052	-1.482860433	NA
G63	-0.710621636	-2.232049109	NA
G64	-0.695181686	-1.893615652	NA
G65	-0.669971984	-1.045919491	NA
G66	NA	-2.471228429	NA
G67	-0.708453412	-2.687717766	NA
G68	-1.125511157	-3.545486371	-1.730505842
G69	-0.479687429	-2.33240193	NA
G7	-1.037948286	-2.440535663	NA
G70	-0.777666326	-1.813497864	NA
G71	-0.646030473	-2.412544396	NA
G72	-1.079838081	-1.126014952	NA
G73	NA	-0.906748141	NA
G74	-0.769426371	-1.996418965	NA
G75	-0.805444986	-1.607027029	NA
G76	-0.463928863	-2.923164445	NA
G77	-0.49721553	-2.478533397	-1.305606025
G78	-0.668507205	-2.659102877	NA
G79	-0.885579921	-2.456560474	NA
G8	-1.116330872	-2.910862535	NA
G80	-0.888854948	-2.133027305	NA
G81	-0.922774148	-2.414262786	NA
G82	-1.06809214	-2.091650066	-0.689059901
G83	-0.643212666	-1.020212233	NA
G84	-0.486923455	-2.481366977	-1.205851384
G86	-0.935856384	-1.906231904	-2.005292496
G9	-1.009464259	-2.237218856	-0.833401382
